"num","title","link","tag1","tag2","tag3","tag4","discount_original_price","discount_final_price","discount_pct","recent_review","all_review","release_date","developer","publisher"
"11","NBA 2K19","https://store.steampowered.com/app/841370/NBA_2K19/?snr=1_1452_4__104","Sports"," Basketball"," Simulation"," Multiplayer","65,000 원","65,000 원","0%","Overwhelmingly Negative (694)","Mostly Negative (3,445)","10 Sep, 2018","Visual Concepts","Visual Concepts"
"12","Don't Starve Together","https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_1452_1600__104_1","Survival"," Multiplayer"," Co-op"," Open World","15,500 원","15,500 원","0%","Very Positive (1,426)","Overwhelmingly Positive (57,980)","22 Apr, 2016","Klei Entertainment","Klei Entertainment"
"13","This War of Mine","https://store.steampowered.com/app/282070/This_War_of_Mine/?snr=1_1452_1600__104_1","Survival"," War"," Atmospheric"," Strategy","21,000 원","6,300 원","-70%","Very Positive (510)","Very Positive (38,937)","15 Nov, 2014","11 bit studios","11 bit studios"
"14","Tom Clancy's Rainbow Six® Siege","https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_1452_1600__104_1","FPS"," Multiplayer"," Tactical"," Action","16,500 원","16,500 원","0%","Mixed (7,427)","Mostly Positive (195,292)","2 Dec, 2015","Ubisoft Montreal","Ubisoft Montreal"
"15","河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon)","https://store.steampowered.com/app/952860/_Ho_Tu_Lo_Shu__The_Books_of_Dragon/?snr=1_1452_1600__104_1","RPG"," Simulation"," Open World"," Turn-Based","20,500 원","18,450 원","-10%","No review","Mixed (161)","15 Nov, 2018","Heluo Studio","香港商河洛互動娛樂股?有限公司"
"16","PRO EVOLUTION SOCCER 2019","https://store.steampowered.com/app/770240/PRO_EVOLUTION_SOCCER_2019/?snr=1_1452_1600__104_1","Sports"," Soccer"," Multiplayer"," Football","52,000 원","52,000 원","0%","Mixed (119)","Mostly Negative (1,288)","30 Aug, 2018","Konami Digital Entertainment","Konami Digital Entertainment"
"17","Thief Simulator","https://store.steampowered.com/app/704850/Thief_Simulator/?snr=1_1452_1600__104_1","Simulation"," Adventure"," Indie"," Action","20,500 원","17,420 원","-15%","No review","Mostly Positive (571)","10 Nov, 2018","Noble Muffins","PlayWay S.A."
"18","Puyo Puyo™Tetris®","https://store.steampowered.com/app/546050/Puyo_PuyoTetris/?snr=1_1452_1600__104_1","Puzzle"," Casual"," Competitive"," Multiplayer","32,000 원","32,000 원","0%","Very Positive (97)","Mostly Positive (1,132)","28 Feb, 2018","Sonic Team, Bitbaboon","Sonic Team"
"19","Human: Fall Flat","https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_1452_1600__104_1","Funny"," Multiplayer"," Co-op"," Physics","16,000 원","16,000 원","0%","Very Positive (485)","Very Positive (16,628)","23 Jul, 2016","No Brakes Games","No Brakes Games"
"20","TEKKEN 7","https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_1452_1600__104_1","Fighting"," Action"," Multiplayer"," Arcade","43,800 원","43,800 원","0%","Mixed (317)","Very Positive (10,730)","2 Jun, 2017","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Studios Inc."
"21","DARK SOULS™ III","https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_1452_1600__104_1","Dark Fantasy"," Difficult"," RPG"," Atmospheric","49,800 원","49,800 원","0%","Very Positive (1,306)","Very Positive (60,301)","12 Apr, 2016","FromSoftware, Inc.","FromSoftware, Inc."
"22","The Witch's House MV","https://store.steampowered.com/app/885810/The_Witchs_House_MV/?snr=1_1452_1600__104_1","Adventure"," Indie"," RPG"," Horror","15,500 원","15,500 원","0%","No review","Very Positive (209)","31 Oct, 2018","Fummy","DANGEN Entertainment"
"23","The Witch's House MV","https://store.steampowered.com/app/885810/The_Witchs_House_MV/?snr=1_1452_1600__104_2","Adventure"," Indie"," RPG"," Horror","15,500 원","15,500 원","0%","No review","Very Positive (209)","31 Oct, 2018","Fummy","DANGEN Entertainment"
"24","Total War: THREE KINGDOMS","https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_1452_1600__104_2","Strategy"," Historical"," War"," Action","59,800 원","59,800 원","0%","No review","No user reviews","7 Mar, 2019","CREATIVE ASSEMBLY","SEGA"
"25","House Flipper","https://store.steampowered.com/app/613100/House_Flipper/?snr=1_1452_1600__104_2","Simulation"," Building"," Realistic"," Singleplayer","20,500 원","20,500 원","0%","Very Positive (292)","Mostly Positive (5,977)","17 May, 2018","Empyrean","Empyrean"
"26","Artifact","https://store.steampowered.com/app/583950/Artifact/?snr=1_1452_1600__104_2","Trading Card Game"," Strategy"," Card Game"," Multiplayer","22,500 원","22,500 원","0%","No review","No user reviews","29 Nov, 2018","Valve","Valve"
"27","Crusader Kings II","https://store.steampowered.com/app/203770/Crusader_Kings_II/?snr=1_1452_1600__104_2","Grand Strategy"," Strategy"," Medieval"," Historical","43,000 원","10,750 원","-75%","Very Positive (148)","Very Positive (18,208)","15 Feb, 2012","Paradox Development Studio","Paradox Development Studio"
"28","Subnautica","https://store.steampowered.com/app/264710/Subnautica/?snr=1_1452_1600__104_2","Survival"," Open World"," Exploration"," Crafting","26,000 원","26,000 원","0%","Overwhelmingly Positive (1,056)","Very Positive (73,459)","23 Jan, 2018","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"29","They Are Billions","https://store.steampowered.com/app/644930/They_Are_Billions/?snr=1_1452_1600__104_2","Early Access"," Base Building"," Strategy"," Survival","26,000 원","26,000 원","0%","Mostly Positive (299)","Very Positive (9,901)","13 Dec, 2017","Numantian Games","Numantian Games"
"30","Factorio","https://store.steampowered.com/app/427520/Factorio/?snr=1_1452_1600__104_2","Early Access"," Base Building"," Resource Management"," Sandbox","30,000 원","30,000 원","0%","Overwhelmingly Positive (410)","Overwhelmingly Positive (30,591)","26 Feb, 2016","Wube Software LTD.","Wube Software LTD."
"31","Undertale","https://store.steampowered.com/app/391540/Undertale/?snr=1_1452_1600__104_2","Great Soundtrack"," Story Rich"," Choices Matter"," Funny","10,500 원","10,500 원","0%","Very Positive (780)","Overwhelmingly Positive (82,255)","15 Sep, 2015","tobyfox","tobyfox"
"32","Raft","https://store.steampowered.com/app/648800/Raft/?snr=1_1452_1600__104_2","Early Access"," Survival"," Multiplayer"," Crafting","21,000 원","21,000 원","0%","Mostly Positive (434)","Mostly Positive (9,250)","24 May, 2018","Redbeet Interactive","Redbeet Interactive"
"33","WARRIORS OROCHI 4 - 無?OROCHI３","https://store.steampowered.com/app/831560/WARRIORS_OROCHI_4__OROCHI/?snr=1_1452_1600__104_3","Action"," Hack and Slash"," Anime"," Female Protagonist","64,800 원","64,800 원","0%","No review","Very Positive (1,026)","16 Oct, 2018","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"34","OVERKILL's The Walking Dead","https://store.steampowered.com/app/717690/OVERKILLs_The_Walking_Dead/?snr=1_1452_1600__104_3","Zombies"," Action"," Co-op"," FPS","61,000 원","61,000 원","0%","No review","Mixed (3,117)","6 Nov, 2018","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"35","Hollow Knight","https://store.steampowered.com/app/367520/Hollow_Knight/?snr=1_1452_1600__104_3","Metroidvania"," Great Soundtrack"," Difficult"," Platformer","16,000 원","16,000 원","0%","Very Positive (679)","Very Positive (26,493)","25 Feb, 2017","Team Cherry","Team Cherry"
"36","Hearts of Iron IV","https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_1452_1600__104_3","Strategy"," World War II"," Grand Strategy"," Historical","43,000 원","43,000 원","0%","Very Positive (530)","Very Positive (22,064)","7 Jun, 2016","Paradox Development Studio","Paradox Development Studio"
"37","Dungreed","https://store.steampowered.com/app/753420/Dungreed/?snr=1_1452_1600__104_3","Action"," Indie"," Pixel Graphics"," Rogue-like","10,500 원","10,500 원","0%","Very Positive (56)","Very Positive (1,757)","15 Feb, 2018","TEAM HORAY","TEAM HORAY"
"38","Slay the Spire","https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_1452_1600__104_3","Early Access"," Card Game"," Rogue-like"," Turn-Based","17,000 원","17,000 원","0%","Very Positive (477)","Overwhelmingly Positive (16,939)","15 Nov, 2017","Mega Crit Games","Mega Crit Games"
"39","TEKKEN 7","https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_1452_1600__104_3","Fighting"," Action"," Multiplayer"," Arcade","43,800 원","43,800 원","0%","Mixed (317)","Very Positive (10,730)","2 Jun, 2017","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Studios Inc."
"40","Mount & Blade: Warband","https://store.steampowered.com/app/48700/Mount__Blade_Warband/?snr=1_1452_1600__104_3","Medieval"," RPG"," Open World"," Strategy","20,000 원","20,000 원","0%","Very Positive (458)","Overwhelmingly Positive (54,061)","31 Mar, 2010","TaleWorlds Entertainment","TaleWorlds Entertainment"
"41","The Binding of Isaac: Rebirth","https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_1452_1600__104_3","Indie"," Replay Value"," Rogue-like"," Difficult","15,500 원","15,500 원","0%","Very Positive (434)","Overwhelmingly Positive (58,360)","5 Nov, 2014","Nicalis, Inc.","Nicalis, Inc."
"42","The Binding of Isaac: Rebirth","https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_1452_1600__104_4","Indie"," Replay Value"," Rogue-like"," Difficult","15,500 원","15,500 원","0%","Very Positive (434)","Overwhelmingly Positive (58,360)","5 Nov, 2014","Nicalis, Inc.","Nicalis, Inc."
"43","Divinity: Original Sin 2 - Definitive Edition","https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_1452_1600__104_4","RPG"," Turn-Based"," Story Rich"," Co-op","54,000 원","54,000 원","0%","Very Positive (672)","Very Positive (30,897)","14 Sep, 2017","Larian Studios","Larian Studios"
"44","TAPSONIC BOLD","https://store.steampowered.com/app/938220/TAPSONIC_BOLD/?snr=1_1452_1600__104_4","Early Access"," Casual"," Early Access"," Rhythm","20,500 원","20,500 원","0%","No review","Mixed (106)","18 Oct, 2018","NEOWIZ","NEOWIZ"
"45","Tree of Life","https://store.steampowered.com/app/361800/Tree_of_Life/?snr=1_1452_1600__104_4","Survival"," Sandbox"," Open World"," Massively Multiplayer","23,000 원","23,000 원","0%","Mostly Negative (19)","Mixed (5,061)","17 Aug, 2017","oddonegames","oddonegames"
"46","Terraria","https://store.steampowered.com/app/105600/Terraria/?snr=1_1452_1600__104_4","Sandbox"," Adventure"," Survival"," 2D","10,500 원","10,500 원","0%","Very Positive (1,877)","Overwhelmingly Positive (179,297)","17 May, 2011","Re-Logic","Re-Logic"
"47","Green Hell","https://store.steampowered.com/app/815370/Green_Hell/?snr=1_1452_1600__104_4","Early Access"," Survival"," Open World"," Multiplayer","20,500 원","20,500 원","0%","Mostly Positive (372)","Very Positive (1,869)","29 Aug, 2018","Creepy Jar","Creepy Jar"
"48","Enter the Gungeon","https://store.steampowered.com/app/311690/Enter_the_Gungeon/?snr=1_1452_1600__104_4","Bullet Hell"," Pixel Graphics"," Rogue-like"," Dungeon Crawler","16,000 원","16,000 원","0%","Very Positive (305)","Very Positive (18,380)","5 Apr, 2016","Dodge Roll","Dodge Roll"
"49","Owlboy","https://store.steampowered.com/app/115800/Owlboy/?snr=1_1452_1600__104_4","Pixel Graphics"," Indie"," Adventure"," Great Soundtrack","27,000 원","18,900 원","-30%","No review","Very Positive (2,241)","2 Nov, 2016","D-Pad Studio","D-Pad Studio"
"50","Sid Meier’s Civilization® VI","https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_1452_1600__104_4","Strategy"," Turn-Based Strategy"," Historical"," Multiplayer","65,000 원","65,000 원","0%","Mixed (319)","Mixed (31,569)","21 Oct, 2016","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","Firaxis Games"
"51","Sid Meier’s Civilization® VI","https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_1452_1600__104_5","Strategy"," Turn-Based Strategy"," Historical"," Multiplayer","65,000 원","65,000 원","0%","Mixed (319)","Mixed (31,569)","21 Oct, 2016","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","Firaxis Games"
"52","Portal 2","https://store.steampowered.com/app/620/Portal_2/?snr=1_1452_1600__104_5","Puzzle"," Co-op"," First-Person"," Sci-fi","10,500 원","10,500 원","0%","Very Positive (703)","Overwhelmingly Positive (93,570)","19 Apr, 2011","Valve","Valve"
"53","Shadow Tactics: Blades of the Shogun","https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_1452_1600__104_5","Stealth"," Tactical"," Ninja"," Strategy","43,000 원","21,500 원","-50%","Very Positive (94)","Overwhelmingly Positive (5,995)","6 Dec, 2016","Mimimi Productions","Mimimi Productions"
"54","Total War: WARHAMMER","https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_1452_1600__104_5","Strategy"," Fantasy"," War"," RTS","59,800 원","59,800 원","0%","Mostly Positive (108)","Mostly Positive (22,603)","24 May, 2016","CREATIVE ASSEMBLY, Feral Interactive (Linux),","CREATIVE ASSEMBLY"
"55","Old School Musical","https://store.steampowered.com/app/398030/Old_School_Musical/?snr=1_1452_1600__104_5","Adventure"," Indie"," Action"," Rhythm","13,500 원","13,500 원","0%","Very Positive (19)","Very Positive (141)","13 Sep, 2018","La Moutarde","La Moutarde"
"56","Total War: WARHAMMER II","https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_1452_1600__104_5","Strategy"," Fantasy"," RTS"," Grand Strategy","59,800 원","59,800 원","0%","Mostly Positive (348)","Very Positive (10,385)","28 Sep, 2017","CREATIVE ASSEMBLY","CREATIVE ASSEMBLY"
"57","Night in the Woods","https://store.steampowered.com/app/481510/Night_in_the_Woods/?snr=1_1452_1600__104_5","Story Rich"," Atmospheric"," Great Soundtrack"," Adventure","21,000 원","21,000 원","0%","Very Positive (122)","Very Positive (5,443)","21 Feb, 2017","Infinite Fall","Infinite Fall"
"58","Tabletop Simulator","https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_1452_1600__104_5","Board Game"," Simulation"," Multiplayer"," Sandbox","21,000 원","21,000 원","0%","Very Positive (54)","Very Positive (7,401)","6 Jun, 2015","Berserk Games","Berserk Games"
"59","BioShock Infinite","https://store.steampowered.com/app/8870/BioShock_Infinite/?snr=1_1452_1600__104_5","FPS"," Story Rich"," Action"," Singleplayer","32,000 원","32,000 원","0%","Very Positive (412)","Overwhelmingly Positive (55,384)","25 Mar, 2013","Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","Irrational Games"
"60","ibb & obb","https://store.steampowered.com/app/95400/ibb__obb/?snr=1_1452_1600__104_5","Co-op"," Puzzle"," Indie"," Local Co-Op","12,500 원","3,750 원","-70%","Very Positive (17)","Very Positive (1,632)","27 May, 2014","Sparpweed, Codeglue","Sparpweed"
"61","Sniper Elite 4","https://store.steampowered.com/app/312660/Sniper_Elite_4/?snr=1_1452_1600__104_5","Sniper"," Multiplayer"," World War II"," Shooter","65,000 원","65,000 원","0%","Very Positive (158)","Very Positive (8,594)","14 Feb, 2017","Rebellion","Rebellion"
"62","Sniper Elite 4","https://store.steampowered.com/app/312660/Sniper_Elite_4/?snr=1_1452_1600__104_6","Sniper"," Multiplayer"," World War II"," Shooter","65,000 원","65,000 원","0%","Very Positive (158)","Very Positive (8,594)","14 Feb, 2017","Rebellion","Rebellion"
"63","The Crew™ 2","https://store.steampowered.com/app/646910/The_Crew_2/?snr=1_1452_1600__104_6","Racing"," Open World"," Multiplayer"," Driving","65,000 원","65,000 원","0%","Mixed (123)","Mixed (2,938)","29 Jun, 2018","Ivory Tower","Ivory Tower"
"64","Far Cry® 4","https://store.steampowered.com/app/298110/Far_Cry_4/?snr=1_1452_1600__104_6","Open World"," Action"," FPS"," Adventure","33,000 원","33,000 원","0%","Mostly Positive (165)","Mostly Positive (17,430)","18 Nov, 2014","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev"
"65","Mega Man 11 / ロックマン11 運命の?車!!","https://store.steampowered.com/app/742300/Mega_Man_11__11/?snr=1_1452_1600__104_6","Action"," Platformer"," Classic"," Side Scroller","29,000 원","29,000 원","0%","No review","Very Positive (863)","3 Oct, 2018","CAPCOM CO., LTD.","CAPCOM CO., LTD."
"66","Sekiro™: Shadows Die Twice","https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice/?snr=1_1452_1600__104_6","Action"," Souls-like"," Adventure"," Difficult","59,800 원","59,800 원","0%","No review","No user reviews","23 Mar, 2019","FromSoftware","Activision (Excluding Japan and Asia)"
"67","Feed and Grow: Fish","https://store.steampowered.com/app/429050/Feed_and_Grow_Fish/?snr=1_1452_1600__104_6","Early Access"," Simulation"," Early Access"," Underwater","16,000 원","16,000 원","0%","Mixed (55)","Mostly Positive (1,464)","9 Jan, 2016","Old B1ood","Old B1ood"
"68","Tom Clancy's Ghost Recon® Wildlands","https://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands/?snr=1_1452_1600__104_6","Open World"," Shooter"," Action"," Co-op","55,000 원","55,000 원","0%","Mostly Positive (332)","Mostly Positive (24,207)","7 Mar, 2017","Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, , , ,","Ubisoft Paris"
"69","Amazing Frog?","https://store.steampowered.com/app/332570/Amazing_Frog/?snr=1_1452_1600__104_7","Early Access"," Funny"," Open World"," Multiplayer","16,500 원","16,500 원","0%","Mostly Positive (36)","Very Positive (1,447)","20 Nov, 2014","Fayju","Fayju"
"70","Hand Simulator","https://store.steampowered.com/app/657200/Hand_Simulator/?snr=1_1452_1600__104_7","Simulation"," Memes"," VR"," Multiplayer","2,200 원","2,200 원","0%","Mostly Positive (214)","Mostly Positive (7,506)","19 Jul, 2017","HFM Games","HFM Games"
"71","Overcooked! 2","https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_1452_1600__104_7","Multiplayer"," Action"," Casual"," Indie","26,000 원","26,000 원","0%","Mostly Positive (199)","Mostly Positive (2,050)","8 Aug, 2018","Ghost Town Games Ltd., Team17 Digital Ltd","Ghost Town Games Ltd."
"72","Lobotomy Corporation | Monster Management Simulation","https://store.steampowered.com/app/568220/Lobotomy_Corporation__Monster_Management_Simulation/?snr=1_1452_1600__104_7","Management"," Simulation"," Indie"," Horror","26,000 원","26,000 원","0%","Very Positive (77)","Very Positive (2,957)","9 Apr, 2018","Project Moon","Project Moon"
"73","Universe Sandbox ²","https://store.steampowered.com/app/230290/Universe_Sandbox/?snr=1_1452_1600__104_7","Early Access"," Space"," Sandbox"," Simulation","26,000 원","26,000 원","0%","Very Positive (51)","Very Positive (4,832)","24 Aug, 2015","Giant Army","Giant Army"
"74","Vampyr","https://store.steampowered.com/app/427290/Vampyr/?snr=1_1452_1600__104_7","Vampire"," RPG"," Action"," Choices Matter","55,000 원","55,000 원","0%","Mixed (88)","Mostly Positive (3,557)","5 Jun, 2018","DONTNOD Entertainment","DONTNOD Entertainment"
"75","Farming Simulator 19","https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_1452_1600__104_7","Simulation"," Multiplayer"," Singleplayer"," Agriculture","38,000 원","38,000 원","0%","No review","No user reviews","20 Nov, 2018","Giants Software","Focus Home Interactive"
"76","Just Shapes & Beats","https://store.steampowered.com/app/531510/Just_Shapes__Beats/?snr=1_1452_1600__104_7","Rhythm"," Indie"," Great Soundtrack"," Bullet Hell","20,500 원","20,500 원","0%","Overwhelmingly Positive (117)","Overwhelmingly Positive (945)","1 Jun, 2018","Berzerk Studio","Berzerk Studio"
"77","Goat Simulator","https://store.steampowered.com/app/265930/Goat_Simulator/?snr=1_1452_1600__104_7","Simulation"," Funny"," Comedy"," Open World","10,500 원","2,620 원","-75%","Very Positive (125)","Very Positive (37,932)","2 Apr, 2014","Coffee Stain Studios","Coffee Stain Studios"
"78","Gang Beasts","https://store.steampowered.com/app/285900/Gang_Beasts/?snr=1_1452_1600__104_7","Funny"," Multiplayer"," Fighting"," Local Multiplayer","21,000 원","21,000 원","0%","Mixed (127)","Mixed (15,379)","13 Dec, 2017","Boneloaf","Boneloaf"
"79","Call of Cthulhu®","https://store.steampowered.com/app/399810/Call_of_Cthulhu/?snr=1_1452_1600__104_7","Lovecraftian"," Adventure"," Horror"," RPG","49,000 원","49,000 원","0%","No review","Mostly Positive (1,070)","30 Oct, 2018","Cyanide Studio","Focus Home Interactive"
"80","Euro Truck Simulator 2","https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_1452_1600__104_8","Simulation"," Driving"," Open World"," Realistic","23,500 원","23,500 원","0%","Very Positive (1,621)","Overwhelmingly Positive (111,591)","13 Oct, 2012","SCS Software","SCS Software"
"81","Sid Meier's Civilization® V","https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/?snr=1_1452_1600__104_8","Turn-Based Strategy"," Strategy"," Turn-Based"," Multiplayer","32,000 원","32,000 원","0%","Very Positive (463)","Overwhelmingly Positive (79,571)","24 Sep, 2010","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","Firaxis Games"
"82","Rise of the Tomb Raider™","https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/?snr=1_1452_1600__104_8","Adventure"," Action"," Lara Croft"," Female Protagonist","59,900 원","59,900 원","0%","Very Positive (889)","Very Positive (32,001)","10 Feb, 2016","Crystal Dynamics, Eidos-Montreal, Feral Interactive (Mac), ,","Crystal Dynamics"
"83","DARK SOULS™: REMASTERED","https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_1452_1600__104_8","Dark Fantasy"," Difficult"," Action"," Action RPG","43,800 원","43,800 원","0%","Mixed (148)","Mixed (8,114)","24 May, 2018","QLOC","QLOC"
"84","Don't Starve","https://store.steampowered.com/app/219740/Dont_Starve/?snr=1_1452_1600__104_8","Survival"," Crafting"," Indie"," Adventure","10,500 원","10,500 원","0%","Very Positive (519)","Overwhelmingly Positive (46,144)","24 May, 2018","Klei Entertainment","Klei Entertainment"
"85","Witch It","https://store.steampowered.com/app/559650/Witch_It/?snr=1_1452_1600__104_8","Early Access"," Multiplayer"," Funny"," Casual","16,000 원","10,560 원","-34%","Very Positive (124)","Very Positive (1,848)","1 Jun, 2017","Barrel Roll Games","Barrel Roll Games"
"86","Assetto Corsa Competizione","https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_1452_1600__104_8","Early Access"," Racing"," Simulation"," Early Access","36,000 원","36,000 원","0%","Mostly Positive (106)","Very Positive (1,027)","13 Sep, 2018","Kunos Simulazioni","Kunos Simulazioni"
"87","Arma 3","https://store.steampowered.com/app/107410/Arma_3/?snr=1_1452_1600__104_9","Simulation"," Military"," Multiplayer"," Realistic","45,000 원","45,000 원","0%","Very Positive (591)","Very Positive (74,988)","12 Sep, 2013","Bohemia Interactive","Bohemia Interactive"
"88","Divinity: Original Sin 2 - Definitive Edition","https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_1452_1600__104_9","RPG"," Turn-Based"," Story Rich"," Co-op","54,000 원","54,000 원","0%","Very Positive (672)","Very Positive (30,897)","14 Sep, 2017","Larian Studios","Larian Studios"
"89","Assetto Corsa Competizione","https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_1452_1600__104_9","Early Access"," Racing"," Simulation"," Early Access","36,000 원","36,000 원","0%","Mostly Positive (106)","Very Positive (1,027)","13 Sep, 2018","Kunos Simulazioni","Kunos Simulazioni"
"90","The Legend of Heroes: Trails of Cold Steel II","https://store.steampowered.com/app/748490/The_Legend_of_Heroes_Trails_of_Cold_Steel_II/?snr=1_1452_1600__104_9","RPG"," JRPG"," Anime"," Story Rich","43,000 원","43,000 원","0%","Very Positive (25)","Overwhelmingly Positive (623)","15 Feb, 2018","Nihon Falcom","Nihon Falcom"
"91","Call of Duty: World at War","https://store.steampowered.com/app/10090/Call_of_Duty_World_at_War/?snr=1_1452_1600__104_9","Zombies"," World War II"," FPS"," Action","21,000 원","21,000 원","0%","Very Positive (145)","Very Positive (16,477)","18 Nov, 2008","Treyarch","Treyarch"
"92","Cities: Skylines","https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_1452_1600__104_9","City Builder"," Simulation"," Building"," Strategy","32,000 원","32,000 원","0%","Very Positive (1,111)","Very Positive (48,307)","11 Mar, 2015","Colossal Order Ltd.","Colossal Order Ltd."
